,job_name,model,status,cv_strategy,dataset,test_fold,test_mse,test_r_square,test_spearman,test_mph,test_ndcg,train_mse,train_r_square,train_spearman,train_mph,train_ndcg,valid_mse,valid_r_square,valid_spearman,valid_mph,valid_ndcg
247,potts-regressor5-fold-random-5-2-29-13-45-52,potts-regressor,Completed,fold_random_5,GRB2_HUMAN_Faure_2021,2,0.08122089067415059,0.6229351580152558,0.7809650725411794,0.5050505050505051,1.0814667932302313,0.014771921189709958,0.9262257330832395,0.9567972148515647,0.8899521531100478,1.013236856394315,,,,,
248,potts-regressor5-fold-random-5-3-29-13-46-03,potts-regressor,Completed,fold_random_5,GRB2_HUMAN_Faure_2021,3,0.073200803202488,0.6116434880941363,0.7937386058434115,0.8584905660377359,1.070058333175972,0.015010696651488816,0.9271377256008703,0.9507247443627491,0.8637469586374696,1.012733617318098,,,,,
249,potts-regressor5-fold-random-5-4-29-13-46-13,potts-regressor,Completed,fold_random_5,GRB2_HUMAN_Faure_2021,4,0.0674557324644464,0.6569607817591276,0.8166460066439042,0.6601941747572816,1.0587928013731076,0.01543763500307453,0.9246200562938939,0.9544996581455997,0.8985507246376812,1.0129289302986404,,,,,
250,rita-regressor5-fold-random-5-0-29-13-46-22,rita-regressor,Completed,fold_random_5,GRB2_HUMAN_Faure_2021,0,0.05137973370364076,0.7207347571100764,0.7877209086984722,0.5643564356435643,1.0636166504618387,0.047725431799510755,0.7692265235274361,0.8691739539470328,0.7788461538461539,1.0374892881999005,,,,,
251,rita-regressor5-fold-random-5-1-29-13-46-35,rita-regressor,Completed,fold_random_5,GRB2_HUMAN_Faure_2021,1,0.058777285349546744,0.7378435134465915,0.8353088272068017,0.8518518518518519,1.0754351507751063,0.047296753584688475,0.7606504973055336,0.8571921754296297,0.7383863080684596,1.0348381858867604,,,,,
252,rita-regressor5-fold-random-5-2-29-13-46-49,rita-regressor,Completed,fold_random_5,GRB2_HUMAN_Faure_2021,2,0.07762236523234578,0.6396411731282377,0.7873322929058459,0.494949494949495,1.0780486435544507,0.04471326448516423,0.7766919910765526,0.8654917155450893,0.7631578947368421,1.0351195249242469,,,,,
253,rita-regressor5-fold-random-5-3-29-13-47-03,rita-regressor,Completed,fold_random_5,GRB2_HUMAN_Faure_2021,3,0.068795440384315,0.6350155176743705,0.8115159705438209,0.9245283018867925,1.0625287668682712,0.04403263914130525,0.786264534543543,0.8608029500639045,0.754257907542579,1.036371109326453,,,,,
254,rita-regressor5-fold-random-5-4-29-13-47-16,rita-regressor,Completed,fold_random_5,GRB2_HUMAN_Faure_2021,4,0.06276998739141924,0.6807896583868398,0.8235254146547375,0.7281553398058253,1.0439724355668714,0.04571034072207461,0.7768024111380607,0.8637912888569375,0.7584541062801933,1.0377484225548737,,,,,
255,potts-regressor5-fold-modulo-5-0-29-13-47-56,potts-regressor,Completed,fold_modulo_5,GRB2_HUMAN_Faure_2021,0,0.14425679244513256,0.283359997498727,0.6434044039532872,0.9805825242718447,1.0632469774673983,0.01554450803730192,0.9198480124825358,0.9499721199359156,0.8498789346246973,1.0155794469508326,,,,,
256,potts-regressor5-fold-modulo-5-1-29-13-48-07,potts-regressor,Completed,fold_modulo_5,GRB2_HUMAN_Faure_2021,1,0.14483642811874767,0.3091509849530232,0.5844894949142541,0.375,1.108245321795188,0.015449146475059612,0.9232792908686349,0.9528781033898571,0.8934624697336562,1.014683950417264,,,,,
